minute,s1_final_BVP,s2_final_BVP,s3_final_BVP,s4_final_BVP,s5_final_BVP,s6_final_BVP,s7_final_BVP,s8_final_BVP,s9_final_BVP,s10_final_BVP,test_progress,avg_BVP
0,-0.8823828124999998,-1.9,-17.88,-240.88,-148.42,14.18,-30.18,-263.0,-2.77,-8.65,0.0,-70.03823828124999
1,1.0489713541666668,8.57,-27.13,94.61,-6.070000000000001,142.50999999999996,9.41,121.01,-31.4,-24.17,0.005555555555555556,28.838897135416666
2,-0.19560937500000006,-2.4100000000000006,11.07,0.43,80.91,0.76,-2.08,-0.029999999999999995,-0.69,-5.31,0.011111111111111112,8.245439062500001
3,0.04206249999999999,4.22,0.68,-139.54,20.33,-4.55,11.4,-74.86,27.87,8.53,0.016666666666666666,-14.58779375
4,-0.018817708333333332,37.36,26.29,-225.78,3.72,6.56,-1.81,3.67,3.38,7.44,0.022222222222222223,-13.918881770833334
5,-0.2618463541666667,24.14,38.25,54.55,-73.15,-14.04,27.49,37.05,-37.35,0.22,0.027777777777777776,5.689815364583333
6,0.006031250000000055,165.0,-211.36,79.34,209.53,-343.72,-205.32,25.67,-136.75,-40.03,0.03333333333333333,-45.763396875
7,0.17908593750000004,871.12,-42.8,-225.73,-91.32,643.33,-39.99,68.55,-686.16,0.07,0.03888888888888889,49.724908593749994
8,-0.07414583333333334,-1.38,-86.21,-69.95,53.34,42.39,78.06,-29.63,-0.83,5.58,0.044444444444444446,-0.8704145833333332
9,0.1308463541666667,22.469999999999995,-11.21,-89.34,79.97,-10.390000000000002,95.59,39.76,-11.53,11.94,0.05,12.739084635416665
10,0.02666406250000001,0.66,-5.820000000000001,10.88,6.62,-33.54,8.83,-100.83,-10.57,-0.74,0.05555555555555555,-12.44833359375
11,0.0017734374999999905,0.95,86.61,-10.49,60.68999999999999,-5.25,-6.77,0.31,-2.5,-5.17,0.06111111111111111,11.838177343749999
12,-0.001114583333333329,-0.4,100.95,-2.71,38.43999999999999,-8.16,11.54,-0.92,-2.3,-7.8,0.06666666666666667,12.863888541666665
13,-0.01105729166666666,12.640000000000002,43.55,-55.95,-7.63,6.69,5.81,-80.16,0.07,-4.2,0.07222222222222222,-7.919105729166668
14,0.01001822916666666,-7.55,-33.65,-63.2,4.18,3.03,-4.11,-14.57,16.06,5.89,0.07777777777777778,-9.390998177083334
15,0.016609374999999992,0.16,317.62,80.5,1.79,3.5899999999999994,13.12,-35.05,19.66,8.15,0.08333333333333333,40.9556609375
16,-0.00959114583333333,-7.5,804.39,-305.42,-4.17,2.03,-6.3,-101.52,18.02,7.98,0.08888888888888889,40.75004088541665
17,-0.02247135416666666,13.609999999999998,6.89,380.03,-0.8,-3.4100000000000006,-2.33,56.99,-7.87,2.79,0.09444444444444444,44.58775286458333
18,-0.041997395833333305,-28.56,264.79,-112.68,181.0,-44.3,17.85,62.33,-10.67,-39.49,0.1,29.022800260416666
19,-0.027596354166666656,-124.23,-1.4,40.57,-42.23,59.84,317.71,27.95,6.14,36.68,0.10555555555555556,32.100240364583335
20,0.41778125000000005,16.3,128.95,45.67,1.26,29.73,32.21,-99.77,-22.17,31.0,0.1111111111111111,16.359778125
21,-0.39472656250000016,-32.48,73.53,-148.58,-20.26,5.99,15.17,-21.3,-0.41,106.58,0.11666666666666667,-2.2154726562500016
22,-0.3286979166666665,60.81000000000001,55.62,14.82,-16.02,315.59,99.65,87.21,-0.029999999999999995,14.890000000000002,0.12222222222222222,63.22113020833334
23,0.6512526041666666,6.89,76.86,4.8,-196.56,22.81,-12.54,3.88,-4.28,-67.14,0.12777777777777777,-16.462874739583334
24,-0.7369791666666666,-11.08,136.1,-2.9100000000000006,-38.15,48.59,-0.9599999999999999,44.18999999999999,41.82,-75.8,0.13333333333333333,14.106302083333333
25,0.34580989583333327,109.87000000000002,21.280000000000005,4.22,362.62,27.4,-1.14,62.29,-26.17,-20.26,0.1388888888888889,54.045580989583335
26,0.31587500000000013,155.42,33.62,186.58,45.55,25.79,-74.51,13.84,-30.29,5.28,0.14444444444444443,36.1595875
27,-0.6238229166666666,-90.91,359.71,101.68,10.88,17.86,12.1,-23.75,22.23,21.530000000000005,0.15,43.07061770833334
28,0.2795598958333334,-44.7,-325.43,11.72,-11.32,5.26,14.859999999999998,84.14,20.76,1.85,0.15555555555555556,-24.25804401041667
29,0.18901041666666665,-112.77,-378.99,-1.07,-7.08,3.71,0.55,-0.45,-28.76,-77.39,0.16111111111111112,-60.206098958333335
30,-0.2224765625,64.64,18.58,5.5,-2.75,-94.62000000000002,-62.15,-68.47,14.45,95.46,0.16666666666666666,-2.9582476562500033
31,0.0660390625,54.72,9.2,-16.58,-32.06,10.68,46.97,-2.6600000000000006,22.46,13.18,0.17222222222222222,10.59760390625
32,0.1474453125,-105.87000000000002,-114.72,-179.56,-2.94,49.43,-51.93,-46.88,-2.6600000000000006,26.04,0.17777777777777778,-42.89425546875
33,0.112203125,-50.5,225.54,25.68,-1.71,1.49,2.4100000000000006,-1.02,-26.51,19.9,0.18333333333333332,19.5392203125
34,-0.05426302083333332,-128.84,-25.55,225.64,-7.570000000000001,-7.44,-10.33,-93.16,20.8,-9.6,0.18888888888888888,-3.610426302083335
35,-0.11934375,-85.79,-185.48,3.42,2.02,33.02,-1.06,-202.77,-12.55,18.57,0.19444444444444445,-43.073934375
36,0.012856770833333347,44.81000000000001,-293.5,56.23,-3.45,-36.88,51.3,-12.25,32.72,-2.57,0.2,-16.357714322916664
37,0.017143229166666666,-230.04,-171.04,11.26,2.31,-41.9,23.61,-183.73,-19.46,8.23,0.20555555555555555,-60.07428567708333
38,-0.13578645833333336,100.74,5.45,-9.43,8.69,-1.73,-47.68999999999999,-125.21,37.74,-5.34,0.2111111111111111,-3.6915786458333315
39,0.09331770833333333,1.39,36.56000000000001,3.7,-11.95,27.38,4.21,-154.11,-20.48,3.93,0.21666666666666667,-10.927668229166667
40,0.014929687500000028,-12.71,135.24,-45.49,-36.04,-3.98,-9.63,1.12,39.0,11.33,0.2222222222222222,7.885492968749999
41,0.19534375,-61.21,22.07,33.22,11.5,-13.83,89.77,59.25,24.07,50.2,0.22777777777777777,21.523534374999997
42,-0.7511848958333334,-91.47,-1.66,0.8,-22.91,27.13,-14.81,-40.38,-146.50999999999996,1.48,0.23333333333333334,-28.90811848958333
43,0.7758697916666667,-43.68,6.7,-230.02,-3.99,-34.6,-17.15,-6.56,-25.030000000000005,-12.46,0.2388888888888889,-36.601413020833334
44,-0.22065104166666666,55.18,-12.59,-3.47,233.55,13.19,94.05,-0.2700000000000001,-3.9,-4.0,0.24444444444444444,37.15193489583334
45,0.0183932291666667,-9.76,211.64,126.31,13.81,7.05,8.37,-41.96,-23.530000000000005,-63.3,0.25,22.864839322916662
46,-0.14134114583333332,-47.97,223.34,2.95,-4.62,-36.5,120.61,55.39,16.43,-31.15,0.25555555555555554,29.833865885416667
47,0.16979427083333334,74.29,-43.18,8.48,-25.59,98.17,57.25,163.83,-65.37,-40.99,0.2611111111111111,22.70597942708333
48,-0.092390625,-77.5,-32.03,124.97,0.8,23.58,206.53,-111.65,19.35,-38.7,0.26666666666666666,11.5257609375
49,-0.04191927083333328,73.77,-8.77,48.08,1.12,-50.07,-1.36,0.35,20.38,265.33,0.2722222222222222,34.87880807291667
50,0.18339322916666667,-5.41,-10.1,440.92,-14.53,-20.219999999999995,6.12,-9.12,54.31000000000001,6.77,0.2777777777777778,44.89233932291667
51,-0.13336718750000004,-76.24,-62.77,24.39,-14.78,-5.12,-20.64,5.77,25.030000000000005,-97.05,0.2833333333333333,-22.15433671875
52,-0.08252343750000006,52.93,-26.74,-59.59,-42.05,16.22,13.92,-15.25,30.86,2.31,0.28888888888888886,-2.7472523437500005
53,0.2958984375,54.8,4.13,7.06,-6.83,8.42,-36.89,41.01,-26.21,16.08,0.29444444444444445,6.186589843749998
54,-0.1646666666666667,-7.28,32.09,-25.83,0.49,4.73,76.11,-273.88,-5.09,13.53,0.3,-18.529466666666668
55,-0.12128125000000003,-5.4,-51.68,53.23,25.46,10.83,7.95,108.68,179.67,11.87,0.3055555555555556,34.048871874999996
56,0.10924479166666663,-45.72,-92.16,-9.13,-1.22,-28.68,-13.32,36.47,33.61,139.65,0.3111111111111111,1.9609244791666682
57,-0.013763020833333355,-3.31,2.3,-11.73,-6.99,-5.85,13.95,-39.24,83.95,-63.97,0.31666666666666665,-3.090376302083334
58,0.053046874999999986,43.81000000000001,-304.14,9.92,-45.51,-41.71,-5.44,47.0,27.95,123.55,0.32222222222222224,-14.451695312499998
59,0.039111979166666706,51.38,-21.05,26.91,-12.68,44.59,76.91,4.52,-19.5,77.64,0.3277777777777778,22.87591119791667
60,-0.03558333333333331,118.87999999999998,9.24,7.04,-7.41,4.17,-84.42,-68.12,32.59,-4.51,0.3333333333333333,0.7424416666666621
61,-0.06509114583333335,-155.52,13.22,2.85,-212.21,46.93999999999999,-3.06,3.31,25.8,147.32,0.3388888888888889,-13.141509114583334
62,0.06783593750000001,-68.95,84.12000000000002,-16.44,-5.27,34.02,16.41,-9.140000000000002,73.23,-1.61,0.34444444444444444,10.643783593750003
63,0.023065104166666652,-32.32,-9.04,21.09,23.42,70.9,-203.32,19.98,0.29,-6.35,0.35,-11.532693489583329
64,-0.09085156250000001,-97.72,0.7099999999999999,-11.8,-27.45,-14.57,0.07,538.16,29.81,-127.37000000000002,0.35555555555555557,28.974914843749996
65,0.13816406250000002,-51.21,47.24,-2.31,0.92,18.17,-52.01,-87.72,-139.32,-400.21,0.3611111111111111,-66.63118359375
66,-0.06305729166666665,95.1,-10.3,7.74,-170.21,15.4,-230.04,-17.79,-175.5,3.6600000000000006,0.36666666666666664,-48.200305729166665
67,0.03144791666666669,65.12,64.95,-9.79,-149.07,34.04,9.67,54.35,52.57,13.33,0.37222222222222223,13.52014479166667
68,-0.048455729166666676,40.77,327.72,16.86,190.29,-30.63,2.74,106.56,-153.52,-9.07,0.37777777777777777,49.16715442708334
69,-0.1506171875,15.35,20.43,-31.09,-9.71,-39.92,-8.15,19.5,14.42,-31.84,0.38333333333333336,-5.116061718749999
70,0.3162734374999999,37.93999999999999,130.31,22.38,1.84,32.67,-2.12,-101.1,6.46,1.47,0.3888888888888889,13.016627343749999
71,-0.1888645833333333,34.61,2.5899999999999994,-11.56,2.1600000000000006,32.66,-5.7,11.17,-23.74,-22.17,0.39444444444444443,1.9831135416666654
72,0.03851041666666664,7.54,-15.02,-255.48,-41.36,7.99,59.57,138.66,79.31,115.62999999999998,0.4,9.687851041666665
73,0.04616927083333334,97.22,-40.63,23.8,17.19,10.890000000000002,-132.81,20.64,-21.780000000000005,-4.58,0.40555555555555556,-3.001383072916668
74,0.01250260416666668,23.32,-176.05,-25.86,-15.19,17.03,-101.06,-5.55,13.88,18.83,0.4111111111111111,-25.06374973958334
75,-0.04535677083333331,-27.57,451.38,-8.18,-135.76,-12.43,-82.03,-16.31,49.49,-31.14,0.4166666666666667,18.740464322916665
76,-0.044085937499999985,39.55,496.18,-6.54,-4.97,33.56,-3.06,15.19,-19.34,68.94,0.4222222222222222,61.946591406250015
77,-0.06061979166666668,61.6,84.2,-37.67,8.36,47.16,25.94,125.69,-49.01,22.77,0.42777777777777776,28.89793802083333
78,0.07255208333333331,34.43999999999999,-44.83,25.66,-2.11,-1.9,-10.62,109.91,-74.03,2.28,0.43333333333333335,3.8872552083333316
79,-0.05096354166666661,-25.06,-279.81,-56.93999999999999,4.35,-14.01,8.46,43.54,-60.4,6.94,0.4388888888888889,-37.29809635416666
80,0.013578124999999996,-95.66,17.85,-10.25,19.16,144.28,32.26,-1.0800000000000003,176.44,-9.79,0.4444444444444444,27.322357812499995
81,0.04797656250000003,-61.09,-27.030000000000005,8.45,-1.53,28.62,31.54,-7.36,-10.5,261.67,0.45,22.28179765625
82,0.002895833333333315,-4.570000000000001,-17.23,-188.44,14.28,7.37,49.24,-61.85,12.58,4.87,0.45555555555555555,-18.374710416666662
83,0.048830729166666656,-21.62,13.44,214.07,31.79,6.3,8.84,116.71,-16.09,-163.94,0.46111111111111114,18.95488307291667
84,-0.17804947916666666,25.0,123.94,23.43,-9.33,23.6,-4.44,-2.51,5.77,83.28,0.4666666666666667,26.85619505208333
85,0.2076015625,-82.12000000000002,-14.140000000000002,8.59,-4.5,32.33,-6.78,7.76,40.37,-104.93,0.4722222222222222,-12.321239843750003
86,-0.09419791666666666,-19.77,-121.83,25.46,-12.04,3.38,-20.33,-19.56,1.49,-7.77,0.4777777777777778,-17.106419791666664
87,0.03756250000000001,-5.77,-73.56,16.51,-25.75,27.33,114.43,18.21,53.11,9.22,0.48333333333333334,13.376756250000003
88,0.029796875000000004,96.05,27.55,1.59,44.89,36.21,-144.96,-145.27,-56.23,37.73,0.4888888888888889,-10.241020312500002
89,-0.17554166666666665,-6.47,-1.1,65.26,15.6,-14.58,-210.15,3.98,85.93,-1.9199999999999997,0.49444444444444446,-6.362554166666667
90,0.2990572916666666,43.26,106.12000000000002,22.07,-15.55,1.02,-7.25,-193.27,17.57,2.61,0.5,-2.3120942708333336
91,-0.3618177083333333,-99.92,208.5,21.29,-129.29,-58.7,-114.44,164.66,-94.59,373.64,0.5055555555555555,27.078818229166664
92,0.18543489583333334,-70.26,4.85,6.44,25.219999999999995,12.12,-6.61,-93.41,-6.4,3.79,0.5111111111111111,-12.407456510416667
93,-0.007260416666666678,81.65,-20.32,10.87,-8.03,-20.52,-1.49,-8.65,-12.65,-40.91,0.5166666666666667,-2.005726041666666
94,-0.6554817708333334,-52.79,28.94,66.05,-4.36,24.99,-156.05,89.28,-36.28,17.06,0.5222222222222223,-2.3815481770833347
95,0.7031770833333333,-44.23,16.18,84.55,-6.03,-17.1,-279.2300000000001,4.14,-17.04,31.35,0.5277777777777778,-22.670682291666676
96,-0.05934114583333335,26.64,-134.44,-15.15,18.93,11.79,-3.92,76.05,12.890000000000002,9.47,0.5333333333333333,0.22006588541666652
97,0.01575260416666668,30.43,-91.2,18.64,-62.43999999999999,115.96,-5.13,8.32,16.32,16.73,0.5388888888888889,4.764575260416667
98,-0.14850000000000002,-14.52,-7.61,-5.6,-38.07,-13.03,-28.42,6.64,13.43,12.109999999999998,0.5444444444444444,-7.521849999999999
99,0.18713802083333334,-215.84,-140.3,1.25,-10.6,20.71,13.51,156.95,0.14,8.06,0.55,-16.593286197916672
100,-0.11134895833333334,17.94,204.0,148.12,-39.2,-2.26,-65.03,24.63,1.84,-27.69,0.5555555555555556,26.22386510416667
101,0.020247395833333334,151.02,-302.8,9.16,2.35,21.530000000000005,110.6,-177.46,12.77,-64.03,0.5611111111111111,-23.683975260416666
102,0.045804687499999996,-92.59,195.7,31.59,-18.93,-15.47,-94.82,-75.23,24.18,217.94,0.5666666666666667,17.241580468749994
