minute,s1_final_EDA,s2_final_EDA,s3_final_EDA,s4_final_EDA,s5_final_EDA,s6_final_EDA,s7_final_EDA,s8_final_EDA,s9_final_EDA,s10_final_EDA,test_progress,avg_EDA
0,0.023410941666666667,0.016657,0.0,0.0,0.0,0.0,0.0,0.003844,0.012813,0.019219,0.0,0.0075943941666666665
1,0.02372059166666667,0.014095,0.002563,0.0,0.0,0.0,0.0,0.002563,0.014095,0.0205,0.005555555555555556,0.007753659166666668
2,0.0239128,0.014095,0.001281,0.0,0.0,0.0,0.0,0.003844,0.012813,0.0205,0.011111111111111112,0.00764458
3,0.0238540625,0.017939,0.001281,0.0,0.0,0.0,0.0,0.003844,0.012813,0.016656,0.016666666666666666,0.007638706249999999
4,0.023795320833333335,0.014095,0.002563,0.0,0.0,0.0,0.0,0.002563,0.012813,0.019219,0.022222222222222223,0.0075048320833333345
5,0.024088962499999998,0.014095,0.001281,0.0,0.0,0.0,0.0,0.003844,0.011532000000000002,0.0205,0.027777777777777776,0.0075340962499999995
6,0.0240463,0.015376,0.0,0.0,0.0,0.001281,0.0,0.005126,0.014095,0.0205,0.03333333333333333,0.00804243
7,0.024153095833333336,0.012813,0.0,0.0,0.0,0.0,0.003843,0.002563,0.014095,0.019219,0.03888888888888889,0.007668609583333335
8,0.024137058333333333,0.017939,0.001281,0.0,0.0,0.0,0.002562,0.005126,0.014095,0.0205,0.044444444444444446,0.008564005833333334
9,0.02392887916666667,0.012813,0.0,0.0,0.0,0.0,0.0,0.003844,0.011532000000000002,0.019219,0.05,0.007133687916666668
10,0.023731329166666666,0.014095,0.002563,0.0,0.0,0.0,0.0,0.005126,0.014095,0.019219,0.05555555555555555,0.007882932916666667
11,0.02344832083333333,0.015376,0.0,0.0,0.442193,0.0,0.0,0.002563,0.011532000000000002,0.017938,0.06111111111111111,0.05130503208333333
12,0.023560454166666668,0.015376,0.610217,0.0,0.808543,0.0,0.0,0.002563,0.010251,0.0205,0.06666666666666667,0.1491010454166667
13,0.023688554166666667,0.015376,0.0,0.8612179999999999,0.832881,0.0,0.0,0.019222,0.012813,0.017938,0.07222222222222222,0.17831365541666666
14,0.0235978125,0.014095,0.0,0.880504,0.826477,0.0,0.0,0.053822,0.011532000000000002,0.019219,0.07777777777777778,0.18292468125
15,0.023635175,0.014095,0.365468,0.835663,0.807262,0.0,0.0,0.348564,0.011532000000000002,0.019219,0.08333333333333333,0.2425438175
16,0.02368855,0.015376,0.319338,1.439197,0.814948,0.0,0.0,0.383164,0.011532000000000002,0.019219,0.08888888888888889,0.30264625500000003
17,0.023683195833333334,0.014095,0.493342,1.872434,0.789329,0.002562,0.0,0.070482,0.011532000000000002,0.019219,0.09444444444444444,0.32966781958333335
18,0.0246335375,0.254985,0.480528,2.255506,0.857219,0.051244,0.0,0.114052,0.010251,0.019219,0.1,0.40676375374999996
19,0.023998183333333332,0.251141,0.452337,1.923681,0.672832,0.0,0.008966,0.010252,0.011532000000000002,0.0205,0.10555555555555556,0.33752391833333334
20,0.056047529166666665,0.219108,0.343417,1.848091,0.748339,0.0,0.40219299999999997,0.36266,0.011532000000000002,0.015375,0.1111111111111111,0.40067625291666664
21,0.12775929166666666,0.207576,0.413895,2.076141,0.752182,0.0,0.634297,0.507468,0.011532000000000002,0.103782,0.11666666666666667,0.4834632291666666
22,0.11958545,0.22167,0.588166,1.940336,0.914862,0.001281,0.615084,0.567698,0.014095,0.166563,0.12222222222222222,0.514934045
23,0.1267342125,0.23576500000000003,0.67685,2.052238,1.195458,0.43712199999999996,0.531827,0.43981599999999993,0.008969,0.187063,0.12777777777777777,0.5891842212499998
24,0.12264995833333334,0.247297,0.726825,2.551897,0.978978,0.355131,0.613536,0.324216,0.010251,0.235751,0.13333333333333333,0.6166531958333332
25,0.13339715,0.315207,0.91263,2.93617,0.876503,0.360256,0.458551,0.263986,0.093537,0.246001,0.1388888888888889,0.659623815
26,0.132249325,0.431809,0.86778,2.312317,0.770184,0.417905,0.023056,0.488513,0.120445,0.251126,0.14444444444444443,0.5815384325000001
27,0.13497740416666665,0.45231,0.94986,2.414811,0.8624120000000001,0.402532,0.01409,0.380601,0.139665,0.317751,0.15,0.6069009404166668
28,0.13453967916666668,0.522783,1.066468,2.754323,0.795803,0.512707,0.011528,0.566683,0.162729,0.313907,0.15555555555555556,0.6841470679166667
29,0.1321318375,0.530471,0.969081,2.362283,0.7151030000000002,0.653628,0.021775,0.52952,0.175542,0.374126,0.16111111111111112,0.64636608375
30,0.13728385416666666,0.554816,0.735864,2.1585760000000005,0.739441,0.733056,0.195973,0.981885,0.188356,0.375407,0.16666666666666666,0.6800657854166668
31,0.14187529166666665,0.503563,1.121568,2.491682,1.134072,0.845793,0.708587,0.419046,0.197325,0.412564,0.17222222222222222,0.7976075291666667
32,0.14563391250000002,0.432075,0.962674,2.508337,1.119981,0.736899,0.218014,0.62435,0.307519,0.097642,0.17777777777777778,0.7153124912500001
33,0.15046019583333334,0.405167,0.983176,2.669685,1.324932,1.004718,0.969953,0.601284,0.210138,0.132236,0.18333333333333332,0.8451749195833335
34,0.1542883125,0.332132,0.808905,2.1752310000000006,1.300594,1.141796,0.934089,0.361646,0.22679599999999997,0.128392,0.18888888888888888,0.7563869312500001
35,0.15593788749999998,0.279597,0.446266,2.358439,1.2608849999999998,1.109768,1.469591,0.539772,0.238328,0.116861,0.19444444444444445,0.7975444887500001
36,0.158190975,0.238594,0.496172,1.958712,1.00844,1.06493,1.492646,0.858862,0.24089,0.101486,0.2,0.7618922975
37,0.1605346375,0.18606,0.429539,1.805812,0.945674,0.743374,1.508017,0.756412,0.239609,0.137361,0.20555555555555555,0.69123926375
38,0.16129817083333334,0.184779,0.334715,1.488081,0.81886,0.611421,1.518264,0.644923,0.24473399999999998,0.124549,0.2111111111111111,0.6131624170833334
39,0.16323620833333333,0.151464,0.307805,1.3123600000000002,0.852165,0.512776,1.367121,0.202742,0.263954,0.130955,0.21666666666666667,0.5264578208333334
40,0.16148503749999998,0.12455599999999999,0.279614,1.143245,0.712541,0.55114,1.336282,0.544898,0.271642,0.118142,0.2222222222222222,0.5243545037499999
41,0.166242,0.118149,0.229639,0.951068,1.098106,0.584448,0.711218,0.364209,0.280611,0.132236,0.22777777777777777,0.4635926
42,0.16493929999999998,0.113024,0.178383,0.860006,0.782993,0.503739,1.019907,0.297572,0.275486,0.150174,0.23333333333333334,0.43462233
43,0.16432000833333332,0.178372,0.14891,1.025277,1.622112,0.461463,0.92128,0.23606,0.290862,0.173236,0.2388888888888889,0.5221892008333333
44,0.16887406666666666,0.171965,0.128408,1.064994,0.598537,0.424311,0.885416,0.298586,0.302394,0.155299,0.24444444444444444,0.41987840666666665
45,0.16895947916666668,0.143776,0.124564,0.870255,0.721508,0.375629,0.81753,0.255016,0.30623799999999995,0.150174,0.25,0.39336494791666665
46,0.17056651666666667,0.104055,0.130971,0.754949,0.622875,0.339758,0.804721,0.339594,0.310082,0.160424,0.25555555555555554,0.3737995516666666
47,0.17954646249999998,0.098929,0.178116,0.555085,0.598537,0.305169,1.000694,0.342157,0.320333,0.184767,0.2611111111111111,0.3763333462499999
48,0.17915676666666666,0.082272,0.270377,0.532024,0.717665,0.265455,0.962268,0.343438,0.310082,0.179642,0.26666666666666666,0.38423797666666665
49,0.180737075,0.093804,0.247312,0.5153,0.57548,0.235989,0.99567,0.351127,0.330583,0.17708,0.2722222222222222,0.37030820750000004
50,0.18139910833333334,0.088679,0.226809,0.496082,0.567795,0.212929,1.082769,0.330623,0.333146,0.15658,0.2777777777777778,0.3676811108333334
51,0.17852678333333336,0.12455599999999999,0.244749,0.442273,0.533209,0.203962,1.144082,0.349845,0.026908,0.184767,0.2833333333333333,0.34328777833333335
