minute,s1_midterm 2_EDA,s2_midterm 2_EDA,s3_midterm 2_EDA,s4_midterm 2_EDA,s5_midterm 2_EDA,s6_midterm 2_EDA,s7_midterm 2_EDA,s8_midterm 2_EDA,s9_midterm 2_EDA,s10_midterm 2_EDA,test_progress,avg_EDA
0,0.023208095833333334,0.015377,0.002563,0.0,0.0,0.0,0.0,0.0,0.014094,0.019219,0.0,0.007446109583333334
1,0.023523070833333333,0.014096,0.002563,0.0,0.0,0.0,0.0,0.0,0.015375,0.019219,0.011111111111111112,0.007477607083333333
2,0.023459012499999998,0.012814,0.002563,0.0,0.0,0.0,0.0,0.0,0.014094,0.019219,0.022222222222222223,0.00721490125
3,0.023688545833333335,0.014096,0.001281,0.0,0.0,0.0,0.0,0.0,0.016656,0.0205,0.03333333333333333,0.007622154583333334
4,0.023950183333333333,0.014096,0.002563,0.0,0.0,0.0,0.002562,0.0,0.014094,0.021781,0.044444444444444446,0.007904618333333334
5,0.023768704166666665,0.014096,0.001281,0.0,0.0,0.0,0.0,0.003844,0.014094,0.021781,0.05555555555555555,0.007886470416666666
6,0.023928825,0.014096,0.0,0.0,0.0,0.0,0.0,0.0,0.014094,0.015375,0.06666666666666667,0.0067493825000000006
7,0.023624512500000003,0.012814,0.002563,0.0,0.0,0.0,0.001281,0.0,0.015375,0.017938,0.07777777777777778,0.0073595512500000005
8,0.0230907125,0.012814,0.002563,0.0,0.0,0.0,0.0,0.001281,0.015375,0.019219,0.08888888888888889,0.007434271249999999
9,0.022551545833333336,0.016658,0.001281,0.0,0.0,0.0,0.0,0.0,0.016656,0.023063,0.1,0.008020954583333333
10,0.021932195833333334,0.015377,0.002563,0.0,0.0,0.0,0.0,0.0,0.014094,0.016656,0.1111111111111111,0.0070622195833333345
11,0.0215424125,0.014096,0.002563,0.0,0.0,0.0,0.0,0.0,0.014094,0.017938,0.12222222222222222,0.0070233412500000005
12,0.021440991666666666,0.011533,0.001281,0.0,0.0,0.0,0.0,0.0,0.014094,0.016656,0.13333333333333333,0.0065004991666666664
13,0.021478349999999997,0.012814,0.002563,0.0,0.0,0.0,0.0,0.0,0.012813,0.016656,0.14444444444444443,0.006632435000000001
14,0.021547774999999998,0.012814,0.001281,0.725413,0.0,0.0,0.0,0.0,0.012813,0.016656,0.15555555555555556,0.0790524775
15,0.021734666666666666,0.012814,0.002563,0.834382,0.0,0.0,0.0,0.0,0.012813,0.019219,0.16666666666666666,0.09035256666666666
16,0.021926866666666666,0.011533,0.176845,0.990686,0.39837399999999995,0.0,0.0,0.0,0.014094,0.016656,0.17777777777777778,0.16301148666666668
17,0.0219855875,0.011533,0.44852,1.173894,0.521345,0.0,0.0,0.0,0.012813,0.017938,0.18888888888888888,0.22080285875
18,0.022076391666666664,0.011533,0.561558,1.559627,0.641754,0.0,0.001281,0.0,0.012813,0.017938,0.2,0.28285803916666674
19,0.022231208333333332,0.011533,0.603847,1.164926,0.460126,0.0,0.0,0.0,0.011530999999999998,0.019219,0.2111111111111111,0.22934132083333333
20,0.022407408333333333,0.012814,0.6512620000000001,1.4160360000000003,0.61384,0.0,0.0,0.0,0.014094,0.019219,0.2222222222222222,0.2749672408333334
21,0.022476837500000003,0.012814,0.634602,1.308517,0.977628,0.0,0.0,0.0,0.012813,0.019219,0.23333333333333334,0.29880698375
22,0.022572929166666665,0.012814,0.368053,1.273826,0.648494,0.0,0.0,0.0,0.014094,0.017938,0.24444444444444444,0.23577919291666666
23,0.022679733333333334,0.012814,0.614098,1.414755,0.542176,0.0,0.0,0.0,0.015375,0.019219,0.25555555555555554,0.26411167333333335
24,0.022754437500000002,0.012814,0.77044,1.400761,0.529297,0.0,0.0,0.0,0.014094,0.017938,0.26666666666666666,0.27680984375000006
25,0.022727745833333333,0.012814,0.847398,1.285356,0.497274,0.0,0.0,0.0,0.963839,0.019219,0.2777777777777778,0.3648627745833334
26,0.022733087500000002,0.014096,1.026806,4.040638,0.50624,0.0,0.0,0.0,0.537112,0.017938,0.28888888888888886,0.61655630875
27,0.022791799999999997,0.015377,1.084473,5.935249,0.485745,0.0,0.0,0.0,0.17708,0.017938,0.3,0.7738653799999999
28,0.0227811375,0.014096,1.06525,6.026212,0.439631,0.0,0.0,0.0,0.111736,0.019219,0.3111111111111111,0.76989251375
29,0.022930604166666667,0.156332,0.9460719999999999,4.658165,0.408888,0.0,0.0,0.0,0.051517,0.016656,0.32222222222222224,0.6260560604166667
30,0.022989316666666666,0.016658,1.04731,2.09644,0.381988,0.0,0.0,0.0,0.197313,0.017938,0.3333333333333333,0.3780636316666666
31,0.023005308333333332,0.29985,1.042184,2.574958,0.357651,0.0,0.0,0.0,0.179376,0.019219,0.34444444444444444,0.44962433083333336
32,0.023154779166666663,0.231935,1.166488,2.079984,0.311536,0.0,0.0,0.0,0.178094,0.0205,0.35555555555555557,0.40116917791666673
33,0.04188891666666667,0.126859,1.262599,1.662321,0.296165,0.0,0.0,0.0,0.171688,0.019219,0.36666666666666664,0.35807399166666665
34,0.029561462500000003,0.062789,1.412632,1.77999,0.271827,0.0,0.0,0.0,0.175532,0.0205,0.37777777777777777,0.37528314625000003
35,0.057142137499999995,0.061508,1.249883,1.913232,0.235961,0.0,0.002562,0.0,0.175532,0.155032,0.3888888888888889,0.38508521375
36,0.07039859166666668,0.078166,1.34215,2.109451,0.212904,0.374348,0.0,0.012815,0.184501,0.151188,0.4,0.4535921591666667
37,0.07515014583333332,0.044849,1.565129,1.22524,0.266703,0.002562,0.011528,0.00897,0.188344,0.152469,0.4111111111111111,0.3540944145833334
38,0.08337720416666666,0.058945,1.397254,1.089336,0.285918,0.3728,0.3830029999999999,0.012815,0.197313,0.158875,0.4222222222222222,0.40396362041666667
39,0.09119322083333332,0.070477,1.426728,0.460209,0.324346,0.327962,0.51494,0.032037,0.201157,0.194751,0.43333333333333335,0.3643800220833333
40,0.09149755,0.084573,1.249883,1.50838,0.449879,0.224192,0.292055,0.003844,0.20500099999999996,0.202438,0.4444444444444444,0.431174255
41,0.09782415416666666,0.07304,1.404943,1.990302,0.453721,0.252377,0.37019299999999994,0.026911,0.210126,0.213969,0.45555555555555555,0.5093406154166666
42,0.09530959166666667,0.076885,1.389565,0.351378,0.495993,0.220349,0.102476,0.051259000000000006,0.212688,0.199876,0.4666666666666667,0.31957785916666664
43,0.1030295375,0.087136,1.347276,1.134177,0.485745,0.299777,0.37019299999999994,0.149934,0.221657,0.226782,0.4777777777777778,0.44257065375
44,0.10828834583333333,0.096106,0.965295,1.208486,0.650987,0.325399,0.266437,0.121741,0.233188,0.26522,0.4888888888888889,0.4241147345833333
45,0.108202925,0.085854,1.347177,1.697994,0.848253,0.239566,0.222884,0.017941,0.224219,0.243438,0.5,0.5035528924999999
46,0.11272499166666666,0.083292,1.319084,1.548097,0.873941,0.366395,0.236975,0.090985,0.240876,0.243438,0.5111111111111111,0.5115807991666668
47,0.11760470416666666,0.14736199999999997,1.231843,1.654434,0.749689,0.522956,0.15371300000000002,0.061511,0.234469,0.225501,0.5222222222222223,0.5099082704166666
48,0.12135260416666667,0.139674,1.362654,1.735348,0.692046,0.676687,0.0,0.088422,0.262657,0.256251,0.5333333333333333,0.5335091604166667
49,0.21612312916666668,0.146081,1.002557,1.465019,0.718946,0.261611,0.073014,0.2742379999999999,0.224219,0.24728199999999997,0.5444444444444444,0.46290901291666664
50,0.45918632916666663,0.149925,0.887124,1.645466,0.647213,0.207805,0.001281,0.114052,0.256251,0.249845,0.5555555555555556,0.4618148329166666
51,0.5109199833333333,0.160176,0.7961380000000001,1.640341,0.661304,0.177059,0.020495,0.283208,0.271626,0.249845,0.5666666666666667,0.4771111983333333
52,0.42961958333333333,0.15505,0.714123,1.452008,0.608785,0.165529,0.293336,0.003844,0.248563,0.243438,0.5777777777777777,0.4314295583333334
53,0.34144260833333334,0.160176,0.596227,0.555085,0.657461,0.22574,0.184456,0.001281,0.294688,0.249845,0.5888888888888889,0.32664016083333336
54,0.27586520416666666,0.16402,0.624419,0.285969,0.613909,0.145031,0.299741,0.04357,0.37797,0.26522,0.6,0.3095714204166667
55,0.23360277916666666,0.16402,0.570597,0.2178,0.587009,0.216773,0.21648000000000003,0.024348,0.379251,0.270345,0.6111111111111112,0.28802257791666663
56,0.21190016250000002,0.167865,0.509017,0.283407,0.540895,0.214211,0.158837,0.001281,0.440751,0.27547,0.6222222222222222,0.28036341625
57,0.20069920416666667,0.165302,0.493639,0.392307,0.563952,0.14375,0.19470400000000002,0.010252,0.465095,0.272907,0.6333333333333333,0.2902607204166666
58,0.1861453541666667,0.176834,0.430846,0.569109,0.526735,0.384597,0.213918,0.002563,0.463814,0.279313,0.6444444444444445,0.3233874354166667
59,0.1785321375,0.174272,0.366772,0.561422,0.517769,0.315417,0.199827,0.005126,0.420251,0.26522,0.6555555555555556,0.30046081375
60,0.176385875,0.188367,0.325764,0.6037009999999999,0.503678,0.241114,0.21648000000000003,0.002563,0.433064,0.287001,0.6666666666666666,0.2978117875
61,0.17785410833333334,0.179397,0.269379,0.569109,0.565164,0.269298,0.234413,0.046133,0.458689,0.28572000000000003,0.6777777777777778,0.30551561083333334
62,0.17775259583333333,0.189648,0.221964,0.570391,0.558759,0.265455,0.238256,0.007689,0.4628,0.28572000000000003,0.6888888888888889,0.29784345958333336
63,0.1782865625,0.18324100000000001,0.191208,0.519143,0.543388,0.133501,0.14859,0.046133,0.620394,0.293407,0.7,0.28572915625000006
64,0.17482697500000002,0.187086,0.180956,0.373089,0.467812,0.136063,0.14859,0.39726,0.876714,0.280595,0.7111111111111111,0.3222991975
65,0.17484294166666667,0.160176,0.210431,0.656229,0.462688,0.727931,0.051238,0.003844,1.452096,0.292126,0.7222222222222222,0.41916019416666667
66,0.173652325,0.180679,0.191208,0.807408,0.57413,0.642098,0.151152,0.002563,1.240689,0.280595,0.7333333333333333,0.4244174325
67,0.17302769583333333,0.18324100000000001,0.16686000000000004,0.744631,0.663796,0.72665,0.249784,0.121741,1.609889,0.274188,0.7444444444444445,0.4913807695833333
68,0.171677,0.17299,0.152764,0.42049299999999995,0.759867,0.460182,0.270279,0.02563,2.177418,0.287001,0.7555555555555555,0.4898301
