minute,s1_final_HR,s2_final_HR,s3_final_HR,s4_final_HR,s5_final_HR,s6_final_HR,s7_final_HR,s8_final_HR,s9_final_HR,s10_final_HR,test_progress,avg_HR
0,120.99033333333334,80.82,122.2,88.93,107.73,96.27,103.07,95.43,101.43,77.6,0.0,99.44703333333335
1,130.87566666666666,74.87999999999998,113.32,78.37000000000002,91.15,81.95,109.95,114.45,94.48,95.75,0.005555555555555556,98.51756666666668
2,131.61383333333333,117.77,123.15,97.08,73.12000000000002,102.12999999999998,136.83,120.02,84.3,110.27,0.011111111111111112,109.62838333333335
3,109.5605,72.9,98.03,69.77,65.03,128.47,83.28,67.93,82.7,83.48,0.016666666666666666,86.11505
4,81.02333333333333,91.53,135.23,76.17,92.48,149.9,96.25,86.87999999999998,78.82,78.07,0.022222222222222223,96.63533333333332
5,104.50399999999999,89.47,124.12000000000002,106.0,128.87,118.72,120.67,116.93,98.37999999999998,78.87000000000002,0.027777777777777776,108.65339999999999
6,120.952,114.73,127.15,96.93,129.18,124.75,118.28,118.5,94.35,124.73,0.03333333333333333,116.95519999999999
7,102.204,80.95,131.12,103.65,131.13,131.02,91.3,131.02,85.22,105.93,0.03888888888888889,109.35439999999998
8,91.83116666666666,86.37000000000002,119.93,97.25,115.32,137.83,106.87000000000002,138.17,73.57,126.37000000000002,0.044444444444444446,109.35111666666667
9,113.71900000000001,128.77,92.67,77.78,92.08,136.48,89.32,137.85,79.18,82.18,0.05,103.0029
10,130.45583333333335,107.22,125.48,115.43,79.67,105.07,98.08,117.12000000000002,106.0,99.58,0.05555555555555555,108.41058333333334
11,107.6785,129.77,141.65,103.83,92.53,111.55,124.93,126.03,97.62999999999998,131.1,0.06111111111111111,116.66984999999997
12,109.48666666666666,132.62,91.72,128.98,99.05,136.3,105.27,98.67,117.53,138.02,0.06666666666666667,115.76466666666667
13,122.68083333333334,134.95,76.5,110.93,99.22,133.63,105.12999999999998,97.8,107.97,117.73,0.07222222222222222,110.65408333333332
14,122.36416666666668,128.48,90.47,96.68,100.58,132.45,107.5,92.17,125.07,115.37999999999998,0.07777777777777778,111.11441666666664
15,110.62783333333333,99.7,77.4,109.33,107.15,106.37999999999998,131.45,129.6,113.3,113.42,0.08333333333333333,109.83578333333332
16,125.4215,121.25,79.07,131.2,105.0,126.4,127.97,114.37999999999998,130.1,120.02,0.08888888888888889,118.08114999999998
17,119.779,116.87999999999998,79.73,93.37999999999998,83.28,125.87999999999998,115.9,91.4,120.45,113.2,0.09444444444444444,105.9879
18,108.67283333333333,115.1,80.4,85.27,72.75,117.58,111.0,88.7,113.15,103.48,0.1,99.61028333333334
19,97.47383333333333,113.0,90.08,80.5,87.12999999999998,100.68,92.85,89.53,116.87000000000002,85.27,0.10555555555555556,95.33838333333333
20,102.0475,115.12000000000002,73.0,82.03,86.65,84.23,82.87000000000002,85.87999999999998,105.52,89.6,0.1111111111111111,90.69475
