minute,s1_midterm 2_HR,s2_midterm 2_HR,s3_midterm 2_HR,s4_midterm 2_HR,s5_midterm 2_HR,s6_midterm 2_HR,s7_midterm 2_HR,s8_midterm 2_HR,s9_midterm 2_HR,s10_midterm 2_HR,test_progress,avg_HR
0,85.79933333333334,141.87,136.53,107.87999999999998,106.87000000000002,110.5,114.35,157.92,110.7,138.93,0.0,121.13493333333334
1,136.61683333333335,113.1,145.45,163.9,120.73,160.27,146.42,136.42,122.27,182.47,0.011111111111111112,142.76468333333332
2,158.054,158.12,121.48,123.22,164.73,183.05,115.98,114.35,123.67,173.97,0.022222222222222223,143.6624
3,117.90216666666667,202.88,170.83,102.08,144.5,171.02,145.88,126.73,158.37,120.18,0.03333333333333333,146.03721666666667
4,119.655,146.67,173.27,103.68,113.75,111.08,122.12999999999998,134.82,115.93,107.85,0.044444444444444446,124.8835
5,125.49083333333333,123.83,93.5,102.27,143.87,113.47,106.97,123.08,112.37999999999998,112.23,0.05555555555555555,115.70908333333334
6,119.35100000000001,79.12000000000002,77.58,119.92,162.8,109.08,101.12999999999998,118.5,140.43,114.35,0.06666666666666667,114.2261
7,120.28150000000001,95.8,96.92,123.12999999999998,127.42,117.72,85.25,121.02,115.58,123.05,0.07777777777777778,112.61715000000001
8,122.72366666666667,106.92,80.15,123.12000000000002,123.25,123.17,118.1,99.95,122.47,123.17,0.08888888888888889,114.30236666666667
9,119.519,121.03,79.0,121.27,123.02,123.17,122.92,116.83,123.33,113.52,0.1,116.36089999999999
10,113.49866666666667,123.18,79.0,106.98,119.22,119.95,124.7,123.42,127.37000000000002,87.37000000000002,0.1111111111111111,112.46886666666668
11,112.29883333333333,118.4,79.0,117.48,120.1,120.73,114.97,120.25,115.8,106.68,0.12222222222222222,112.57088333333334
12,106.26583333333333,132.08,79.0,101.4,95.43,119.6,87.4,111.08,121.07,96.45,0.13333333333333333,104.97758333333336
13,123.39566666666666,89.2,79.0,130.58,103.52,101.85,99.28,117.62999999999998,94.97,121.4,0.14444444444444443,106.08256666666666
14,153.27966666666669,104.77,95.85,101.8,121.72,149.12,97.55,126.52,114.87000000000002,154.98,0.15555555555555556,122.04596666666666
15,142.30183333333335,131.48,113.77,99.35,115.18,156.15,118.35,106.22,120.73,127.2,0.16666666666666666,123.07318333333335
16,131.86849999999998,154.3,133.35,90.27,78.02,146.15,148.03,141.43,128.18,131.9,0.17777777777777778,128.34985
17,127.556,149.15,122.72,76.73,105.0,122.92,151.12,125.72,126.75,119.27,0.18888888888888888,122.69360000000002
18,118.38683333333333,152.65,99.57,83.18,99.03,151.3,130.12,124.95,118.62999999999998,111.73,0.2,118.95468333333334
19,117.6485,155.4,141.53,77.23,92.12999999999998,117.83,130.9,123.3,148.87,133.62,0.2111111111111111,123.84584999999997
20,132.83416666666668,145.77,130.32,67.3,94.4,141.28,146.68,135.07,120.37000000000002,112.97,0.2222222222222222,122.69941666666668
21,143.37016666666665,137.07,95.7,98.58,79.25,117.42,146.48,122.07,143.02,127.53,0.23333333333333334,121.04901666666665
22,141.55583333333334,144.98,74.02,82.97,81.02,145.02,122.75,134.25,142.42,146.18,0.24444444444444444,121.51658333333334
23,142.02716666666666,129.33,82.47,106.1,101.2,146.77,101.2,110.92,137.82,147.5,0.25555555555555554,120.53371666666666
24,115.622,101.35,77.15,107.67,100.12999999999998,148.75,115.05,113.95,94.0,147.38,0.26666666666666666,112.10520000000001
25,110.66116666666667,132.9,77.07,79.5,97.0,139.27,101.27,132.02,99.82,147.12,0.2777777777777778,111.66311666666665
26,122.65783333333334,143.85,68.62999999999998,84.37000000000002,108.15,112.75,110.37999999999998,102.62999999999998,80.05,147.08,0.28888888888888886,108.05478333333333
27,123.27883333333332,141.33,87.73,71.6,105.22,106.73,112.18,101.58,84.82,124.25,0.3,105.87188333333336
28,128.982,144.05,93.87999999999998,78.55,108.1,109.05,124.18,135.17,87.48,108.08,0.3111111111111111,111.75219999999999
29,135.8035,117.33,103.2,74.12999999999998,102.17,144.4,111.15,110.28,78.87000000000002,106.37999999999998,0.32222222222222224,108.37134999999998
30,119.05033333333334,95.45,93.82,83.27,105.98,147.65,105.23,121.17,77.27,111.65,0.3333333333333333,106.05403333333334
31,126.35016666666667,82.23,75.22,78.67,103.73,146.73,115.2,127.47,85.62000000000002,107.95,0.34444444444444444,104.91701666666668
32,119.51133333333334,79.7,87.95,96.9,108.7,125.92,118.12999999999998,133.1,84.18,138.73,0.35555555555555557,109.28213333333333
