minute,test_progress,s1_stress,s2_stress,s3_stress,s4_stress,s5_stress,s6_stress,s7_stress,s8_stress,s9_stress,s10_stress,avg_STRESS
0,0.0,44.842454583013044,36.74158598456373,44.49924453312085,32.6260375071229,40.25721623978674,40.307524071510464,41.27152479016138,34.51250348359309,40.365094331839764,35.47036327328723,39.08935487979992
1,0.0055555555555555,46.92194107862189,35.13204326549821,41.665527052226786,36.01089962437166,37.93173220233718,38.7066620918014,42.4026172499802,45.9000635717825,38.053345751995046,38.30019474589045,40.10250266345053
2,0.0111111111111111,47.02887940805149,44.77611589825199,45.311581663754275,38.82964975169286,35.557330774554316,41.272582009316444,48.620246761427204,44.892655235279655,36.93823994463276,42.45423861199729,42.56815200589583
3,0.0166666666666666,42.581765215930666,34.981391998933965,39.73108957981821,30.184533668835613,32.73451436585765,47.143513961283446,37.081446583093346,32.04764118005253,37.26196950800873,36.92916948664711,37.067703554846126
4,0.0222222222222222,36.34466113385407,39.860573542992306,48.65477344124022,30.072706366650408,38.582784700299065,52.17416709343146,39.83123652916012,37.76518568434746,35.96766954063583,35.79151382510321,39.50452718577141
5,0.0277777777777777,41.45988124760054,39.011323890792674,46.06654304431891,41.91556485687942,45.25789916022986,44.42604618954774,45.63998288564924,45.130882410022686,39.322809848439334,35.3481430454269,42.357907657890735
6,0.0333333333333333,42.68981412347507,45.18937292527295,38.50807778073382,38.90802520000323,49.26750463120757,35.016046866858716,38.73452839430046,44.60916569680532,34.102553316976646,39.96117987911263,40.69862688147464
7,0.0388888888888888,36.53138049892099,52.089624415893375,43.400724657673415,35.098167018109706,44.39068719202519,56.256978710190005,36.95638490834287,48.741314037715846,22.577192699259182,38.19134390882601,41.42337980469566
8,0.0444444444444444,34.441207297894806,35.61459732608575,39.05447340341119,36.28818400881457,43.13670980591914,44.79388518621988,41.265420475347746,47.51504210020366,31.50790443547488,40.95435028652815,39.45717743258997
9,0.05,38.199316430286274,44.46172473456867,32.831775676491624,31.2806635727365,36.98461232694671,43.47339585840509,36.892966460768,48.033688596985876,32.168573196522146,29.977552736445762,37.43042695901566
10,0.0555555555555555,43.6198203808012,40.37442564289868,42.65593634509498,41.477858644611835,33.37549552184189,38.82530660650825,38.98132515326933,40.86848812222264,39.43513954464924,37.29267989787948,39.69064758597775
11,0.0611111111111111,39.96985592295632,45.65072944508386,49.873174652182975,38.61140403347982,47.89062125869392,40.79766007557347,44.201030657611035,44.80714887713899,37.84003993838317,44.6889137563928,43.433057861749646
12,0.0666666666666666,40.592720155552456,46.34472327777678,39.212534604700174,43.97814336332838,49.46489533389086,46.53154710894503,40.25955548341832,41.78562499113129,42.46832292396248,46.520852147955566,43.71589193906613
13,0.0722222222222222,43.81129157294159,47.19349611023308,35.206941469183334,50.132719863499624,48.951207925100526,46.38831664546891,40.235010908945064,49.12921676352905,40.5872213483257,42.5627788158252,44.41982014230521
14,0.0777777777777777,43.92979723901527,45.432696153938906,36.74815787943297,47.25658083134514,49.27556510743354,46.14287083496388,40.63268275349086,51.052213337776244,44.746836752177416,42.258437986174684,44.74758388757489
15,0.0833333333333333,41.33711720732418,39.17860306471413,49.24021146586164,53.19784508184085,50.520055135512344,40.356968791004924,46.25294316124351,59.046725412797116,42.226094787788604,41.86511668529988,46.32216807933872
16,0.0888888888888888,44.669657635678305,43.854674936976416,59.1295259895212,50.7230941528934,49.41589182724859,44.864608209641716,45.1999742108807,54.042367099121584,45.98773030482755,43.58644100443477,48.147396537122425
17,0.0944444444444444,43.497691098965596,43.27971443235578,44.80493484370433,55.30841019988198,44.19296148362266,44.70389685797657,42.619482514024796,52.11141061732246,43.41278037632035,42.001116961063005,45.59323993852376
18,0.1,42.00292970314748,53.11697102008588,49.79998967158243,44.503996835661134,45.810539461677514,43.51828539950875,41.966332693926915,51.7542483972097,41.79420546294538,37.87440532175486,45.214190396750006
19,0.1055555555555555,44.223288476499896,51.28081107593865,46.693318979561646,46.15170554779987,44.84174585979972,41.574758822515335,51.39172099448973,51.149955331527345,42.937182636797765,35.57105249502208,45.5815540219952
