minute,test_progress,s1_stress,s2_stress,s3_stress,s4_stress,s5_stress,s6_stress,s7_stress,s8_stress,s9_stress,s10_stress,avg_STRESS
0,0.0,41.24427931006874,40.66804679446931,54.150200295427474,51.938545720956476,60.40601379913205,55.47688132792904,42.461878385897705,42.71987328921557,47.815984818092964,41.04876926455524,47.79304730057446
1,0.0111111111111111,44.19019439736559,40.56199541572824,58.3520135566709,54.293802875282005,59.434675862275675,52.60289882309315,40.701269536339474,53.678905015858525,45.571664666833506,43.14559208797746,49.25330122374245
2,0.0222222222222222,54.081547984399,47.52389903661642,60.64070917757069,55.69293080086979,57.28828923011045,50.60528921478226,44.117910182293805,49.46123574713863,52.54196112226874,50.137417424475295,52.2091189920525
3,0.0333333333333333,59.69898223903562,48.29064457001573,61.976994835543415,55.90225654970647,51.85851320871546,47.108163059410366,47.174852893912465,50.696837240042754,47.93384949972479,51.30621898247008,52.19473130785771
4,0.0444444444444444,49.84902578959176,52.8572457139922,61.332279367540366,53.467531977270234,51.6548768295471,43.74024047039588,44.798099248124714,59.18788443229973,41.90203240173147,47.62331574028277,50.64125319707762
5,0.0555555555555555,43.65932725791285,53.517538297260785,57.901561614355366,57.457748220326316,46.50071073071225,42.96117521459586,46.154047059789086,63.42542118637937,46.21589267386199,48.61972045343726,50.641314270863106
6,0.0666666666666666,47.14575932697318,47.052914883556525,54.38607870054094,54.30718234261477,45.83106512156777,46.61148473595059,45.2839280077226,58.419506578051276,51.78863399764478,50.718871782749055,50.15454254773714
7,0.0777777777777777,51.3317211728068,47.424224026210375,53.78332323823306,52.67000903221808,50.1346195806292,43.69979450636462,47.13289628061511,58.90412680059668,47.9532261317122,44.38107037678992,49.741501114617606
8,0.0888888888888888,50.604252739169226,52.10588037592172,49.17388708982626,54.195329014568834,51.61024813337571,43.79618328200544,57.44992017117388,52.17625960996238,51.88127545699299,44.42944722477131,50.74226830977677
9,0.1,52.963811861582656,52.56732367511554,45.16157927315543,57.66169084519627,56.40783629771687,45.35664739647973,52.04866686581439,48.489035390318556,51.50246003292699,44.28255001519626,50.64416016535027
10,0.1111111111111111,50.63948456554093,53.95351510865598,47.07562487052977,47.036873991357034,55.53494993151551,45.62493477622891,49.28344344928953,48.14021446776269,49.8755801289062,43.65677076077559,49.08213920505621
11,0.1222222222222222,43.73794620038871,61.48720131512001,44.71455590031051,44.967419993024215,55.47018881375135,48.63734309299247,49.73695245535935,52.96670854678155,46.37258834705158,54.263522232727524,50.23544268975072
12,0.1333333333333333,42.62310376460553,54.739007245409425,45.285250751347405,44.54994907634855,49.81559699751301,51.79865351436728,51.12480196985599,57.68487724874998,49.7059844258826,55.18495600417589,50.251218099825564
13,0.1444444444444444,42.87574728958368,48.541338445938436,47.87850448245036,47.8903597309259,48.90678597384747,49.676586883190204,45.19701400719186,59.227044967212954,59.09925761027923,50.02020265995674,49.93128420505768
14,0.1555555555555555,44.80948078112163,45.59435597232365,48.97091714062947,44.74264389748972,57.58027590711439,50.1258742156773,45.32383847739019,56.996903783938365,56.21218462986371,46.60347843156848,49.69599532371169
15,0.1666666666666666,48.22462464182352,45.857629504322574,43.5124197954514,41.95580801746832,48.85302353944616,44.360921519989994,50.46166758196514,59.67452032963873,50.82966143177614,41.59831213105895,47.53285884929408
16,0.1777777777777777,43.61198544661347,59.07372172897792,42.60571382298934,47.33692897888617,43.52467752848511,44.45922497873976,48.70759071121006,59.11324805328267,52.28548958551463,46.73939523610096,48.74579760708001
17,0.1888888888888888,41.707962199214826,60.053220711615005,44.04466278095979,47.95074935861515,41.88088943149369,49.17764535795455,43.69559025880867,60.68770484026027,59.7248051703607,45.88322915722892,49.48064592665116
18,0.2,44.66279336212228,60.374104150475084,42.458308334015165,50.350463877204085,41.262596553229095,55.01716087211611,46.92746289495904,58.68723363327431,58.59183720560938,47.49639450631497,50.582835538931946
