minute,s1_final_TEMP,s2_final_TEMP,s3_final_TEMP,s4_final_TEMP,s5_final_TEMP,s6_final_TEMP,s7_final_TEMP,s8_final_TEMP,s9_final_TEMP,s10_final_TEMP,test_progress,avg_TEMP
0,22.154999999999998,22.75,21.95,21.75,22.95,22.63,22.83,22.35,22.09,22.45,0.0,22.390499999999996
1,22.046666666666667,22.41,21.469999999999995,21.35,22.030000000000005,22.05,22.030000000000005,22.31,21.93,21.81,0.005555555555555556,21.94366666666667
2,22.023,22.63,21.99,21.65,22.030000000000005,22.57,22.35,22.33,22.33,22.21,0.011111111111111112,22.211299999999998
3,22.339333333333332,22.67,22.13,21.69,22.11,22.65,22.43,22.43,22.43,22.33,0.016666666666666666,22.320933333333336
4,22.415666666666667,22.75,22.25,21.75,22.15,22.69,22.51,22.45,22.45,22.39,0.022222222222222223,22.380566666666663
5,22.345000000000002,22.65,22.01,21.71,22.17,22.39,22.39,22.49,22.29,22.05,0.027777777777777776,22.249500000000005
6,20.642,21.19,19.530000000000005,20.69,21.21,19.2,20.99,22.030000000000005,20.57,18.67,0.03333333333333333,20.472199999999997
7,19.246333333333332,21.99,20.12,20.99,21.45,20.11,21.77,22.41,21.15,19.83,0.03888888888888889,20.906633333333332
8,19.401,21.09,19.39,20.77,21.13,18.93,20.81,21.73,20.2,18.51,0.044444444444444446,20.196099999999994
9,18.622166666666665,20.37,18.29,20.55,20.09,18.91,20.25,21.23,19.93,17.62,0.05,19.586216666666665
10,19.813333333333333,21.15,19.99,20.51,20.46,20.85,21.49,21.29,20.83,20.2,0.05555555555555555,20.65833333333333
11,20.804,21.33,21.31,20.59,27.91,20.85,21.17,21.33,20.91,20.530000000000005,0.06111111111111111,21.673399999999997
12,20.958666666666666,21.39,21.43,20.33,28.29,21.05,21.23,23.49,21.05,20.77,0.06666666666666667,21.998866666666668
13,21.158333333333335,21.45,21.75,28.15,28.51,21.17,21.31,29.81,21.19,21.11,0.07222222222222222,23.560833333333335
14,21.290333333333333,21.49,21.67,28.45,28.37,21.23,21.35,31.17,21.23,21.13,0.07777777777777778,23.73803333333333
15,21.302,21.49,27.83,28.75,28.25,21.23,21.33,31.21,21.25,21.13,0.08333333333333333,24.377200000000002
16,21.332666666666668,21.51,28.09,28.69,27.89,21.29,21.39,30.95,21.29,21.31,0.08888888888888889,24.374266666666667
17,21.390666666666668,21.51,28.45,28.77,27.57,21.33,21.41,31.09,21.33,21.33,0.09444444444444444,24.418066666666665
18,22.073333333333334,29.23,28.45,28.95,27.95,22.33,21.45,31.19,21.37,20.51,0.1,25.35033333333333
19,25.371333333333332,29.530000000000005,28.27,28.83,27.969999999999995,22.23,26.93,31.09,21.37,20.73,0.10555555555555556,26.23213333333333
20,27.670666666666666,29.93,28.41,28.89,27.95,22.15,27.09,31.17,21.39,21.469999999999995,0.1111111111111111,26.612066666666664
21,29.857333333333333,30.11,28.43,28.77,28.45,21.99,27.25,30.81,21.37,28.55,0.11666666666666667,27.558733333333333
22,30.051666666666666,30.37,28.21,28.89,29.01,22.71,27.19,30.81,21.45,29.49,0.12222222222222222,27.818166666666666
23,30.176333333333332,30.61,28.15,28.969999999999995,29.67,30.15,27.19,30.969999999999995,21.469999999999995,29.83,0.12777777777777777,28.718633333333326
24,30.312,30.79,28.05,29.05,30.01,30.15,27.13,31.21,22.35,30.07,0.13333333333333333,28.912200000000002
25,30.34466666666667,30.89,28.19,29.33,30.55,29.95,27.15,30.81,32.13,30.11,0.1388888888888889,29.94546666666667
26,30.393333333333334,30.99,28.27,29.01,30.81,29.79,27.39,30.91,32.45,30.09,0.14444444444444443,30.010333333333328
27,30.447333333333333,31.27,28.15,29.21,30.95,29.81,27.85,31.05,32.5,30.35,0.15,30.158733333333338
28,30.408666666666665,31.43,28.27,29.39,31.030000000000005,29.99,27.63,30.95,32.45,30.27,0.15555555555555556,30.181866666666668
29,30.389333333333337,31.41,28.11,29.07,31.09,30.09,27.969999999999995,30.87,32.47,30.11,0.16111111111111112,30.157933333333336
30,30.442666666666664,31.45,28.07,29.17,31.25,30.15,28.21,30.69,32.37,29.99,0.16666666666666666,30.179266666666667
31,30.48933333333333,31.41,28.43,29.030000000000005,31.01,30.15,27.33,30.75,32.31,30.19,0.17222222222222222,30.109933333333334
32,30.51966666666667,31.469999999999995,28.11,29.25,30.89,30.19,27.39,30.99,32.05,30.13,0.17777777777777778,30.098966666666666
33,30.573666666666668,31.530000000000005,27.89,29.37,30.89,30.31,27.43,30.83,32.0,30.01,0.18333333333333332,30.083366666666667
34,30.672,31.73,27.69,29.69,30.99,30.33,27.51,30.81,32.25,30.11,0.18888888888888888,30.178199999999997
35,30.651333333333334,31.91,27.59,29.91,31.17,30.51,27.59,30.29,32.41,30.37,0.19444444444444445,30.240133333333336
36,30.651666666666664,32.09,28.37,30.19,31.01,30.61,27.65,29.41,32.37,30.39,0.2,30.274166666666666
37,30.681,32.16,28.99,30.45,31.19,30.469999999999995,27.65,29.69,32.31,30.530000000000005,0.20555555555555555,30.412100000000002
38,30.569666666666667,32.23,29.51,30.59,31.41,30.45,27.63,29.79,32.27,30.59,0.2111111111111111,30.503966666666663
39,30.553333333333335,32.33,30.19,30.55,31.37,30.65,27.65,30.030000000000005,32.31,30.77,0.21666666666666667,30.64033333333333
40,30.458000000000002,32.43,30.81,30.469999999999995,31.49,30.73,27.530000000000005,30.530000000000005,32.41,30.99,0.2222222222222222,30.7848
41,30.541666666666668,32.43,31.17,30.73,31.65,30.87,27.49,30.89,32.43,30.93,0.22777777777777777,30.913166666666672
42,30.68866666666667,32.45,30.99,30.83,31.79,30.99,27.49,31.29,32.16,30.73,0.23333333333333334,30.940866666666672
43,30.647333333333332,32.45,30.99,30.93,31.85,31.13,27.51,31.530000000000005,31.969999999999995,30.69,0.2388888888888889,30.96973333333333
44,30.731333333333335,32.41,30.95,31.07,31.91,31.21,27.530000000000005,31.469999999999995,32.11,30.75,0.24444444444444444,31.014133333333337
45,30.778333333333332,32.5,30.91,31.21,31.969999999999995,31.21,27.61,31.57,32.18,30.93,0.25,31.086833333333335
46,30.751666666666665,32.65,31.13,31.23,32.25,31.21,27.59,32.11,32.16,30.969999999999995,0.25555555555555554,31.205166666666667
47,30.799333333333333,32.77,30.95,31.15,32.29,31.29,27.55,32.23,32.16,31.19,0.2611111111111111,31.23793333333333
48,30.735666666666667,32.93,30.95,31.11,32.41,31.33,27.57,32.31,32.23,30.99,0.26666666666666666,31.256566666666668
49,30.717333333333332,33.05,30.93,31.25,32.43,31.41,27.61,32.55,32.45,30.55,0.2722222222222222,31.294733333333333
50,30.767333333333333,33.07,31.030000000000005,31.43,32.61,31.469999999999995,27.63,32.57,32.59,30.67,0.2777777777777778,31.383733333333332
51,30.837333333333333,33.11,31.13,31.37,32.79,31.51,27.59,32.89,32.75,30.43,0.2833333333333333,31.440733333333334
52,30.832666666666668,33.16,31.37,31.37,32.91,31.469999999999995,27.51,33.13,32.89,30.49,0.28888888888888886,31.51326666666667
53,30.819333333333336,33.29,31.49,31.41,33.15,31.469999999999995,27.63,33.05,33.05,30.57,0.29444444444444445,31.59293333333333
54,30.741,33.31,31.75,31.55,33.21,31.530000000000005,27.61,32.89,33.15,30.71,0.3,31.645099999999996
55,30.691666666666666,33.31,31.81,31.51,33.16,31.55,27.63,32.77,33.27,30.63,0.3055555555555556,31.63316666666667
56,30.646666666666665,33.37,31.85,31.45,33.16,31.59,27.73,33.11,33.37,30.43,0.3111111111111111,31.67066666666667
57,30.750333333333334,33.47,31.91,31.530000000000005,33.15,31.73,27.81,33.33,33.49,30.030000000000005,0.31666666666666665,31.720033333333333
58,30.82766666666667,33.61,31.89,31.37,33.18,31.87,27.89,33.41,33.57,29.91,0.32222222222222224,31.752766666666673
59,30.88266666666667,33.68,32.03,31.17,33.33,32.0,27.75,33.68,33.59,30.35,0.3277777777777778,31.84626666666667
60,30.862666666666666,33.84,32.13,31.17,33.33,32.05,27.63,33.25,33.68,30.25,0.3333333333333333,31.81926666666667
61,30.963,33.93,32.05,31.25,33.41,32.15,27.63,33.23,33.68,30.27,0.3388888888888889,31.856299999999994
62,30.993999999999996,33.97,32.21,31.41,33.53,32.21,27.69,33.47,33.77,29.85,0.34444444444444444,31.910400000000003
63,31.117666666666665,34.07,32.27,31.55,33.0,32.33,27.67,33.55,33.81,29.93,0.35,31.929766666666673
64,31.160666666666668,34.13,32.21,31.61,33.33,32.41,27.77,33.71,33.84,30.11,0.35555555555555557,32.02806666666667
65,31.041333333333334,34.16,32.03,31.69,33.34,32.31,27.73,33.71,33.83,30.01,0.3611111111111111,31.98513333333333
66,30.968666666666664,34.21,32.07,31.77,33.75,32.41,27.71,33.34,33.81,29.79,0.36666666666666664,31.982866666666666
67,30.972666666666665,34.27,32.03,32.0,33.79,32.55,27.65,33.77,33.83,29.91,0.37222222222222223,32.07726666666667
68,31.00766666666667,34.31000000000001,32.16,31.969999999999995,33.93,32.61,27.69,33.83,33.97,30.05,0.37777777777777777,32.152766666666665
69,31.05666666666667,34.37,32.16,32.0,33.91,32.68,27.73,33.73,33.95,30.05,0.38333333333333336,32.163666666666664
70,31.034333333333333,34.37,32.34,32.21,33.95,32.75,27.85,33.75,33.93,30.25,0.3888888888888889,32.24343333333333
71,31.003,34.41,32.45,32.15,33.89,32.79,27.969999999999995,34.11,33.99,30.13,0.39444444444444443,32.289300000000004
72,30.94066666666667,34.49,32.39,31.81,33.81,32.84,27.91,34.65,34.03,30.19,0.4,32.306066666666666
73,30.911,34.49,32.29,31.37,33.75,32.84,28.55,34.75,34.05,30.55,0.40555555555555556,32.35510000000001
74,30.919666666666668,34.53,32.23,31.41,33.75,32.91,28.69,34.65,34.09,30.63,0.4111111111111111,32.380966666666666
75,30.80933333333333,34.65,32.11,31.469999999999995,33.75,33.0,28.37,34.55,34.18,30.75,0.4166666666666667,32.363933333333335
