minute,s1_midterm 2_TEMP,s2_midterm 2_TEMP,s3_midterm 2_TEMP,s4_midterm 2_TEMP,s5_midterm 2_TEMP,s6_midterm 2_TEMP,s7_midterm 2_TEMP,s8_midterm 2_TEMP,s9_midterm 2_TEMP,s10_midterm 2_TEMP,test_progress,avg_TEMP
0,22.078,22.030000000000005,22.15,21.41,22.11,22.030000000000005,22.15,22.19,22.09,21.79,0.0,22.0028
1,22.033333333333335,22.33,22.61,21.69,22.27,21.969999999999995,22.45,22.21,22.23,22.01,0.011111111111111112,22.18033333333333
2,21.949,22.41,22.61,21.41,22.17,22.27,22.09,22.37,22.05,21.81,0.022222222222222223,22.1139
3,22.047333333333334,22.21,22.11,21.43,21.93,22.15,22.09,22.19,22.01,21.79,0.03333333333333333,21.995733333333334
4,22.125333333333334,22.23,21.95,21.49,21.99,22.05,22.01,22.23,22.05,21.83,0.044444444444444446,21.995533333333334
5,22.061,22.25,21.89,21.469999999999995,22.05,22.21,22.05,22.25,22.030000000000005,21.83,0.05555555555555555,22.0091
6,20.813333333333333,22.31,21.95,17.65,19.33,21.09,22.11,22.25,22.07,19.62,0.06666666666666667,20.919333333333334
7,19.3765,18.91,22.030000000000005,17.09,16.39,17.39,22.09,22.35,16.39,18.96,0.07777777777777778,19.09765
8,17.7115,17.25,18.19,15.71,15.73,16.59,19.39,18.79,14.79,18.2,0.08888888888888889,17.235149999999997
9,16.460666666666665,16.49,18.29,15.109999999999998,14.17,15.07,18.37,17.12,13.71,17.69,0.1,16.248066666666666
10,17.028,15.35,17.27,17.89,16.87,17.09,17.09,16.12,12.71,19.46,0.1111111111111111,16.687800000000003
11,17.714333333333332,18.51,16.17,18.2,18.19,18.77,16.17,15.05,17.11,19.81,0.12222222222222222,17.569433333333336
12,19.791833333333333,19.15,17.43,19.35,19.49,18.85,17.54,18.12,17.93,19.81,0.13333333333333333,18.746183333333335
13,20.0535,20.41,18.33,19.57,19.83,19.85,17.83,18.85,19.530000000000005,20.09,0.14444444444444443,19.43435
14,20.250333333333334,20.27,19.7,24.21,19.95,20.01,19.73,19.87,19.7,20.19,0.15555555555555556,20.388033333333333
15,20.389666666666667,20.45,19.96,24.87,24.95,20.2,19.95,20.15,19.93,20.27,0.16666666666666666,21.111966666666667
16,20.483666666666668,20.57,24.55,24.85,28.93,20.33,20.12,20.33,20.09,20.35,0.17777777777777778,22.060366666666663
17,20.564333333333334,20.67,25.71,24.73,29.49,20.45,20.25,20.46,20.2,20.43,0.18888888888888888,22.29543333333333
18,20.632333333333335,20.73,26.25,24.69,29.79,20.55,20.37,20.59,20.31,20.45,0.2,22.436233333333334
19,20.692,20.79,26.57,24.87,29.63,20.61,20.46,20.65,20.41,20.49,0.2111111111111111,22.5172
20,20.746,20.87,26.67,24.91,29.49,20.69,20.530000000000005,20.75,20.51,20.530000000000005,0.2222222222222222,22.5696
21,20.782666666666668,20.95,26.67,25.31,29.71,20.77,20.57,20.85,20.55,20.59,0.23333333333333334,22.67526666666667
22,20.81533333333333,20.99,26.91,25.39,29.87,20.81,20.63,20.89,20.61,20.65,0.24444444444444444,22.756533333333337
23,20.866666666666667,20.99,26.79,25.37,30.09,20.87,20.67,20.91,22.59,20.65,0.25555555555555554,22.97966666666667
24,20.898333333333333,21.05,26.81,25.33,29.77,20.93,20.69,20.969999999999995,23.51,20.69,0.26666666666666666,23.064833333333333
25,20.926,21.11,26.95,25.43,29.65,20.969999999999995,21.030000000000005,21.030000000000005,29.19,20.73,0.2777777777777778,23.7016
26,20.96333333333333,21.15,26.91,26.23,29.81,20.99,20.93,21.05,30.969999999999995,20.71,0.28888888888888886,23.971333333333337
27,20.985666666666663,21.17,27.01,26.05,29.79,21.05,20.89,21.09,31.11,20.75,0.3,23.98956666666667
28,21.01066666666667,21.17,26.969999999999995,26.05,29.67,21.09,20.91,21.13,30.99,20.79,0.3111111111111111,23.978066666666667
29,21.034,27.69,27.030000000000005,25.73,29.91,21.09,20.91,21.15,30.43,20.79,0.32222222222222224,24.5764
30,21.055333333333333,28.13,26.99,26.09,30.29,21.13,20.91,21.17,30.63,20.85,0.3333333333333333,24.724533333333333
31,21.084,28.91,26.99,25.85,30.23,21.15,20.95,21.19,30.77,20.81,0.34444444444444444,24.7934
32,21.10233333333333,28.79,27.07,26.01,30.39,21.19,20.95,21.23,31.33,20.87,0.35555555555555557,24.89323333333333
33,21.33533333333333,28.99,27.030000000000005,26.05,30.51,21.19,20.99,21.25,31.05,20.95,0.36666666666666664,24.934533333333334
34,21.942333333333334,29.07,27.01,26.37,30.87,23.030000000000005,20.99,21.27,30.77,21.63,0.37777777777777777,25.295233333333336
35,26.413,29.33,26.99,26.33,31.17,29.11,21.11,21.31,30.81,29.35,0.3888888888888889,27.192300000000007
36,27.32266666666667,29.33,26.85,26.75,31.41,30.39,21.33,29.63,30.91,30.05,0.4,28.39726666666666
37,27.63266666666667,29.59,26.83,27.11,31.55,30.45,25.530000000000005,31.23,30.99,30.21,0.4111111111111111,29.112266666666663
38,27.802,29.79,26.85,27.71,31.59,30.35,25.73,31.51,31.17,30.27,0.4222222222222222,29.2772
39,27.854333333333333,30.030000000000005,26.969999999999995,27.93,31.63,30.31,25.77,31.17,31.09,30.11,0.43333333333333335,29.28643333333333
40,27.957333333333334,30.11,27.030000000000005,27.15,31.71,30.17,26.030000000000005,32.09,31.11,30.15,0.4444444444444444,29.350733333333334
41,28.118333333333332,30.27,27.030000000000005,28.030000000000005,31.71,29.75,25.79,31.530000000000005,30.969999999999995,30.07,0.45555555555555555,29.326833333333333
